height,weight,chest,waist,hip,thigh,calf,arm,shoulder
158.6,54.6,83.1,72.9,95.2,57.3,34.8,29.2,36.3
152.1,47.6,85.3,70.1,86.5,50.7,32.9,30.0,33.8
160.3,63.5,94.5,80.5,96.8,60.6,37.1,32.7,36.0
170.2,68.7,93.5,82.4,102.0,60.4,38.0,35.0,37.9
171.1,66.5,93.4,79.3,98.5,58.2,38.5,32.0,37.9
164.0,70.6,99.1,87.3,105.5,61.5,38.2,33.8,37.1
166.6,49.3,82.0,66.1,89.0,51.8,31.5,27.3,35.6
163.7,71.1,90.8,84.6,106.2,64.0,38.5,33.3,35.0
154.2,84.1,105.6,104.8,108.8,69.7,41.2,39.2,37.4
161.2,64.9,94.8,85.6,93.0,52.5,36.2,32.7,35.7
155.8,65.1,94.4,91.0,97.6,58.0,36.1,32.5,33.8
162.2,60.9,91.1,75.3,95.7,57.5,36.8,32.1,36.0
160.7,49.4,83.8,66.6,87.6,52.2,35.0,27.2,34.8
167.9,73.3,95.5,82.3,102.5,62.3,39.5,30.9,36.9
155.1,46.4,77.6,63.9,88.1,51.7,34.5,26.4,33.7
166.8,58.0,92.2,73.8,94.0,56.4,36.4,29.0,37.5
167.4,52.7,81.7,65.3,90.8,54.8,33.9,26.0,35.2
167.2,51.5,79.6,67.5,95.3,52.8,32.0,26.0,36.7
163.8,61.2,89.4,80.9,96.3,58.5,35.5,32.0,37.8
158.1,54.9,88.1,71.9,93.2,55.0,34.2,29.0,35.7
162.8,64.5,93.5,81.9,98.0,62.1,38.0,31.1,35.4
163.6,54.3,86.6,69.0,92.4,56.4,34.7,28.0,35.2
153.1,58.2,87.5,80.0,96.1,60.2,36.2,30.3,33.9
170.0,82.2,102.1,90.5,106.0,65.2,41.3,35.7,37.2
162.9,48.3,79.7,62.6,89.5,51.7,32.7,26.3,36.2
156.7,48.0,85.2,71.1,89.9,52.7,31.7,27.0,35.5
169.7,60.1,87.1,73.6,90.5,53.0,34.4,29.0,39.3
158.2,53.1,80.3,71.5,94.0,57.5,36.3,30.0,35.0
148.5,38.4,77.0,61.0,79.2,47.8,31.2,24.8,32.3
164.4,54.1,81.5,67.8,92.0,55.0,34.0,29.0,33.6
170.4,85.5,105.5,98.8,112.8,64.8,39.7,38.6,38.4
170.1,73.3,102.9,84.3,100.3,62.0,36.8,35.5,39.2
163.4,54.4,88.7,73.7,89.0,52.3,35.7,26.8,35.5
161.5,56.6,83.5,71.7,94.0,57.1,37.0,29.7,35.9
160.2,64.5,90.2,75.4,100.0,62.8,39.4,30.5,36.8
164.8,64.0,86.7,75.6,99.7,60.2,39.2,30.5,35.6
161.2,60.2,91.0,72.8,95.3,58.9,37.9,31.5,36.6
168.3,64.9,92.0,77.9,97.2,57.9,37.2,30.5,38.6
168.5,55.2,83.5,74.2,91.2,51.2,35.5,27.0,37.4
167.7,70.4,95.6,80.3,96.3,57.7,42.5,32.6,39.5
159.0,51.6,82.3,66.8,90.1,56.8,34.1,27.3,36.7
163.3,64.4,89.9,75.6,97.2,61.3,36.4,31.3,35.8
169.8,51.5,86.0,65.8,89.5,52.1,32.6,26.8,35.6
158.2,49.3,83.0,66.9,88.2,52.6,34.2,26.8,35.6
157.0,51.1,84.1,67.8,91.2,51.2,33.7,28.2,34.7
166.6,66.5,91.0,82.7,98.4,59.2,40.4,31.5,37.4
160.4,52.9,86.7,74.9,89.0,55.2,33.8,30.0,37.0
165.1,69.9,94.0,85.6,102.2,59.8,40.5,35.0,35.4
163.5,47.6,76.7,64.0,89.2,51.9,32.6,24.9,35.4
163.1,63.6,91.0,78.0,98.0,59.9,38.2,31.0,37.3
158.2,52.2,86.9,68.4,89.5,52.0,35.9,29.2,33.0
164.5,69.0,96.7,85.6,100.4,59.4,40.1,32.5,36.2
170.6,56.5,81.1,69.3,91.5,53.5,35.2,28.0,37.5
164.5,75.1,96.2,81.7,109.0,69.1,38.4,34.5,37.9
158.1,47.5,81.3,64.5,88.2,51.7,32.2,27.5,34.2
157.5,57.7,87.7,73.0,95.8,59.5,35.4,32.5,37.0
169.6,84.7,102.0,91.7,112.0,70.5,39.5,38.7,39.1
156.9,45.7,77.8,65.6,85.8,50.7,32.3,26.0,35.1
153.9,48.3,81.2,68.1,90.2,55.0,33.2,26.8,33.7
172.7,91.4,106.4,93.2,117.2,74.9,43.3,37.0,31.6
157.2,50.2,82.7,71.5,88.2,54.0,33.7,28.9,36.5
165.2,51.3,82.5,67.3,89.1,51.9,32.9,27.0,36.7
161.6,53.8,81.8,74.4,91.7,54.7,34.5,28.0,38.3
161.8,58.1,86.0,72.2,94.5,59.7,36.6,30.7,36.3
155.3,50.0,81.6,67.4,88.2,52.7,33.9,26.3,34.0
160.0,49.8,81.5,69.7,89.8,52.0,32.0,27.0,35.6
174.2,68.6,100.3,79.6,97.8,57.0,36.7,30.6,40.4
185.0,76.9,104.3,79.8,97.2,59.8,39.5,33.0,42.7
172.6,76.0,104.8,89.2,94.9,59.7,39.8,34.3,39.8
178.3,121.0,122.8,119.6,115.8,75.4,46.3,44.8,44.8
173.7,76.6,100.7,89.0,99.8,61.6,37.3,34.5,42.2
174.9,67.2,97.2,79.4,93.2,55.9,37.7,32.5,41.0
163.8,56.2,88.4,76.8,89.4,52.2,33.8,30.7,38.6
177.6,79.8,106.0,92.9,98.5,59.3,38.9,34.7,39.5
177.6,69.4,100.0,83.3,95.0,54.7,35.6,30.4,40.6
160.1,68.2,96.5,82.8,96.5,60.0,38.1,33.8,38.8
181.0,78.3,105.3,79.6,99.7,60.6,39.3,34.9,43.7
176.1,94.9,114.0,103.3,104.7,65.9,41.6,38.4,42.3
180.6,84.6,103.0,88.7,100.8,65.1,41.5,34.7,39.7
167.4,61.6,98.7,70.8,86.8,53.4,36.6,30.9,39.6
178.5,83.5,112.1,86.2,101.7,61.7,39.3,35.6,42.9
175.6,78.7,101.5,86.2,98.5,62.2,39.5,34.1,40.1
185.3,85.8,104.6,85.0,103.0,62.2,39.9,32.4,42.0
179.5,81.1,106.5,82.1,100.0,60.0,40.8,35.4,41.4
182.0,97.6,107.6,96.0,112.0,68.8,43.5,37.0,40.3
182.0,75.6,100.8,78.7,96.8,54.7,39.4,33.5,39.5
180.4,91.9,110.0,84.0,106.4,66.0,43.8,35.1,42.6
173.7,70.9,100.0,81.4,93.7,56.2,37.7,32.8,38.8
175.9,77.7,100.3,84.0,99.9,61.0,39.2,34.0,39.9
176.4,67.6,99.8,81.6,91.9,53.7,33.5,32.0,42.2
173.3,65.6,98.5,77.7,89.5,51.3,37.7,30.2,41.2
181.8,82.3,104.1,85.7,100.4,60.0,39.1,34.3,41.3
171.3,75.7,96.3,84.5,98.3,61.8,41.5,34.1,37.5
166.5,63.8,95.0,78.5,90.7,57.5,36.5,31.0,36.7
167.4,68.7,99.0,83.5,94.6,56.0,36.8,31.9,37.7
173.3,68.8,102.5,79.2,92.7,54.0,35.2,30.2,41.6
177.2,76.4,112.4,77.0,94.0,57.8,37.4,35.5,42.2
176.1,82.2,105.2,86.5,99.5,64.2,41.2,36.3,38.3
168.2,61.8,92.6,75.1,91.4,53.7,36.5,30.1,38.6
175.9,78.5,105.5,88.0,100.5,61.2,37.4,33.4,38.0
183.1,82.7,105.0,80.7,102.0,60.0,39.0,36.0,44.6
174.0,65.5,98.4,76.0,91.7,56.6,36.5,30.0,39.0
183.3,99.0,106.1,95.6,113.1,69.6,44.6,36.0,40.4
169.5,74.2,103.0,88.8,97.7,56.2,37.2,33.0,40.3
165.0,73.0,101.3,88.6,99.1,60.0,38.4,34.7,38.5
185.6,87.4,107.0,89.4,107.3,64.0,41.0,35.6,43.4
156.9,74.2,100.0,92.8,104.9,64.0,39.1,34.0,38.5
167.7,59.6,93.0,73.2,89.0,53.5,35.5,30.8,37.8
170.0,61.0,91.8,72.8,92.5,55.2,37.0,30.8,38.2
173.8,77.7,108.6,87.7,95.5,56.4,38.3,34.6,42.4
177.1,71.1,99.3,79.5,96.7,55.7,37.0,31.8,42.6
172.8,72.7,99.2,82.2,97.0,56.7,39.7,34.3,39.9
178.0,94.6,110.0,94.3,105.0,68.5,40.3,39.8,41.9
174.8,72.5,100.7,88.0,96.0,58.5,37.5,32.9,41.1
175.1,78.9,103.6,87.0,103.6,61.5,38.3,35.1,42.2
176.5,106.3,112.5,104.4,117.2,72.3,45.0,40.3,40.5
175.8,66.0,96.5,72.0,91.8,54.1,36.0,31.5,39.8
177.2,73.4,95.5,84.5,98.7,57.9,39.3,33.2,39.7
182.7,90.1,107.2,90.8,105.7,66.7,38.1,38.5,44.4
178.8,81.5,101.0,79.0,100.1,62.6,42.2,34.6,42.0
179.0,102.6,110.2,106.8,114.0,71.0,44.3,38.2,40.0
173.5,89.0,107.2,96.0,108.0,66.0,42.0,35.8,40.1
174.6,78.0,106.2,82.2,96.2,60.0,38.7,35.4,40.7
154.7,59.8,90.5,79.4,94.5,57.4,37.8,31.8,34.3
163.8,60.8,87.1,75.5,98.7,61.9,36.6,30.3,33.5
160.6,59.0,86.3,69.3,99.4,59.5,37.0,29.4,33.2
157.7,48.6,78.6,65.2,88.5,51.5,34.9,26.2,33.9
155.4,56.5,88.1,77.0,94.8,57.8,36.3,31.3,34.7
170.3,64.9,86.2,76.2,99.5,58.1,39.4,30.0,35.4
166.2,50.3,85.6,74.0,88.2,48.1,31.3,28.9,38.3
160.9,51.4,86.0,70.5,86.1,52.1,34.2,28.9,35.3
154.9,59.4,88.8,79.9,95.3,57.9,35.3,31.6,35.4
159.0,51.6,83.0,71.3,93.0,56.6,33.7,26.8,34.0
158.3,48.6,84.0,66.1,90.5,53.7,32.9,25.4,36.0
161.8,69.2,98.5,81.0,104.7,66.2,37.1,33.3,36.9
152.4,62.5,90.2,81.7,99.2,60.3,40.0,33.6,36.1
164.1,54.4,88.1,75.6,93.0,53.6,33.4,28.9,36.5
166.5,64.4,86.1,75.2,98.7,59.5,38.7,28.2,37.9
161.4,55.3,92.1,71.0,92.0,53.7,34.0,28.0,35.2
158.5,54.3,83.0,72.8,95.4,58.2,36.3,26.0,34.8
162.7,55.9,82.1,72.6,95.2,56.0,38.2,28.0,36.1
165.6,51.1,80.9,66.4,85.3,50.6,34.8,27.0,35.7
156.7,69.2,95.9,85.5,100.6,63.5,40.9,35.2,34.5
164.5,67.9,92.8,80.0,103.3,61.4,38.0,33.7,36.1
164.1,59.6,89.3,76.5,99.2,56.3,34.8,28.5,35.8
157.5,47.0,81.8,63.8,91.3,53.5,32.6,25.1,34.9
167.2,57.7,87.5,77.8,97.9,56.9,35.2,27.3,36.1
158.5,81.1,108.3,93.8,106.9,66.3,43.1,36.2,37.4
158.1,55.5,86.1,68.3,98.4,57.5,35.4,28.2,36.6
152.2,52.8,86.4,73.6,92.2,56.8,34.3,31.5,32.9
164.9,49.5,80.6,71.7,88.7,52.1,31.9,25.5,34.4
153.0,49.0,81.2,69.4,90.2,54.2,33.4,29.3,33.6
155.4,54.9,85.0,71.5,95.2,58.8,34.5,31.0,34.6
165.4,50.8,80.3,65.1,89.4,52.0,32.3,26.3,35.4
169.7,58.2,79.9,69.3,96.0,58.2,36.4,26.8,36.3
169.0,59.0,83.1,73.8,93.9,54.5,35.5,27.5,35.6
151.4,60.5,93.0,81.7,98.5,60.6,36.1,32.3,34.1
152.5,50.5,85.5,69.6,89.8,53.6,32.9,29.6,35.0
159.7,58.7,93.6,79.6,98.5,59.4,36.2,30.3,37.7
159.5,54.1,85.5,72.1,92.0,54.5,35.1,30.6,36.6
161.2,54.5,89.4,73.1,92.0,56.2,34.2,30.5,36.0
164.9,57.8,88.5,71.5,95.6,54.9,35.7,29.0,37.5
154.8,53.2,89.6,73.0,91.0,54.9,35.8,30.5,36.1
164.6,67.0,94.1,80.8,103.4,62.7,38.3,31.0,36.1
172.1,56.4,84.4,68.4,96.0,57.1,34.3,25.9,37.3
161.9,70.4,103.0,93.1,101.8,61.0,37.9,33.9,36.4
159.3,49.4,82.0,67.2,87.4,51.4,33.2,27.6,36.3
160.0,65.2,88.3,79.8,107.8,64.7,37.6,31.8,35.2
161.2,58.5,91.5,72.5,91.1,54.1,36.5,31.1,36.5
166.0,71.1,97.4,84.2,102.5,60.2,35.8,34.4,39.3
160.3,57.2,88.8,72.6,95.4,58.4,35.2,29.5,35.8
164.9,67.8,98.9,82.3,97.0,60.0,35.8,33.7,38.5
163.5,90.3,110.9,100.8,112.5,69.9,43.1,38.8,40.3
160.7,45.1,81.8,63.8,85.2,51.9,31.6,25.2,34.4
158.6,54.3,88.5,77.1,92.1,57.9,33.2,29.5,35.2
153.8,44.6,81.1,68.1,85.3,51.5,32.2,28.3,33.4
158.9,53.4,86.5,74.4,91.5,56.3,32.7,29.8,35.1
153.7,53.7,90.3,75.7,94.0,56.7,36.0,29.2,33.9
167.4,47.4,78.8,61.1,87.9,51.2,33.8,25.5,36.7
163.0,51.6,79.5,66.2,92.7,54.6,34.4,26.5,33.2
157.2,50.7,83.3,70.4,91.6,54.9,34.3,28.0,35.5
160.5,68.6,93.4,82.6,103.0,61.2,39.4,34.0,37.3
152.2,45.5,82.5,65.3,86.7,51.7,33.3,26.3,33.8
156.2,77.3,101.9,89.7,107.8,64.1,42.8,34.5,38.3
158.3,64.4,93.6,83.2,99.5,58.1,38.5,30.4,35.2
172.6,59.6,85.2,67.6,97.4,56.9,38.1,26.9,37.0
172.5,71.0,95.4,81.9,97.1,58.9,38.8,31.0,36.5
160.8,60.0,90.5,73.3,97.8,59.1,35.5,29.9,38.0
164.9,51.5,83.3,64.9,91.9,52.0,33.0,25.4,36.3
156.0,49.9,82.0,68.2,93.2,52.8,34.4,28.0,36.0
158.0,81.9,104.1,92.4,115.2,70.0,42.5,37.9,37.6
159.5,56.5,91.0,79.7,92.3,53.4,34.1,30.0,37.2
150.2,47.2,82.4,66.8,89.4,53.6,31.4,27.9,35.9
162.7,54.6,85.1,70.1,93.8,54.1,35.8,28.5,37.1
159.4,48.5,84.9,64.7,85.7,48.0,34.0,26.0,36.0
169.9,59.5,87.7,78.4,94.7,55.3,36.8,29.2,36.3
167.8,60.7,93.2,76.5,97.7,57.4,32.4,29.8,37.8
160.1,66.2,96.6,87.7,100.0,58.5,36.0,33.0,35.5
156.8,72.0,95.0,84.1,109.4,67.6,42.9,34.4,37.1
161.2,84.4,95.3,88.3,114.1,72.4,44.7,37.1,38.0
159.1,51.8,83.3,69.9,91.3,54.3,33.9,28.0,34.1
157.8,42.4,78.7,66.3,85.8,46.9,30.5,23.5,34.4
164.4,58.2,85.8,75.5,94.9,56.1,35.5,29.8,36.0
161.9,57.9,87.9,74.5,92.6,54.0,37.5,29.4,34.1
163.1,47.6,79.3,63.8,86.0,51.5,33.4,23.8,35.5
157.2,58.3,88.3,78.2,96.7,55.9,37.6,30.1,35.6
162.4,52.5,82.8,67.5,90.8,54.4,34.6,29.2,36.8
156.0,64.0,93.5,83.8,99.6,62.8,37.2,33.0,37.5
159.4,53.7,88.6,70.2,93.5,55.9,34.9,29.5,38.1
160.2,49.3,82.0,69.7,91.2,51.2,31.8,28.5,35.9
158.9,49.4,84.7,72.8,86.0,51.1,33.0,27.6,35.3
159.0,55.0,82.8,76.3,92.2,54.7,35.8,27.4,35.4
161.1,65.3,95.4,87.2,98.0,60.2,37.0,32.2,35.3
157.7,64.4,95.3,82.5,100.9,60.7,36.5,31.7,35.5
156.0,66.7,99.8,86.3,97.2,61.3,39.6,33.1,38.1
167.0,66.1,92.2,81.6,103.5,61.5,38.1,31.2,37.0
165.5,53.9,83.4,72.7,90.4,51.8,34.3,27.3,34.5
164.8,61.0,99.8,71.2,89.4,54.6,35.8,33.2,38.0
176.5,69.3,98.5,84.1,95.2,56.6,36.0,30.4,41.5
177.1,72.5,97.7,76.9,96.7,58.0,38.3,33.0,42.7
163.4,62.6,99.6,76.9,89.5,55.6,36.5,33.0,39.1
167.3,70.7,100.3,82.5,100.7,60.8,38.2,33.0,40.0
174.6,60.3,94.5,78.5,88.2,53.1,30.9,29.5,38.4
171.1,74.6,101.3,88.8,97.6,62.3,39.8,32.8,39.3
174.0,56.1,86.7,69.8,89.3,50.1,33.9,27.1,38.8
174.7,66.2,97.9,79.9,95.2,55.3,35.6,31.0,39.4
173.2,79.3,104.1,88.3,100.3,62.5,41.1,34.3,41.5
171.5,66.5,99.9,82.5,94.6,55.8,35.0,32.2,39.5
186.1,80.4,98.8,85.4,98.8,59.6,41.1,31.5,40.7
168.9,98.5,119.7,116.1,106.4,66.1,44.7,39.5,41.9
162.1,64.0,93.3,76.2,93.7,58.7,40.0,32.9,37.7
176.1,70.9,98.1,79.7,96.5,58.8,41.6,30.7,41.1
176.5,84.1,109.8,91.0,97.4,60.7,40.3,35.0,43.2
172.0,70.6,100.0,85.9,95.7,59.1,38.8,32.4,39.6
166.0,73.8,106.8,90.5,101.1,60.8,38.2,33.5,42.0
174.7,82.3,107.4,94.7,100.0,60.5,40.9,36.8,40.6
178.4,68.4,96.2,77.0,93.6,54.6,36.9,33.0,44.5
176.6,66.6,100.2,72.4,90.4,55.2,35.0,33.3,43.0
183.0,83.6,103.0,83.0,100.7,65.3,40.3,33.7,43.6
166.4,72.6,97.9,87.4,99.4,59.2,36.0,34.9,40.0
171.8,77.6,104.3,89.0,97.7,58.5,38.8,33.9,41.4
176.3,88.3,113.7,93.9,103.1,64.5,42.9,37.9,41.8
176.6,90.8,108.8,91.4,106.1,63.4,43.7,34.5,42.8
182.8,86.4,105.3,88.2,102.7,60.7,39.9,34.5,43.2
166.0,63.5,99.2,81.1,90.0,51.7,35.5,30.8,39.3
185.2,75.5,97.2,84.3,98.1,56.0,36.5,31.3,40.9
167.3,69.9,100.3,87.0,96.4,56.0,37.1,30.6,38.0
184.1,75.4,99.7,82.4,97.4,54.7,37.5,31.2,42.3
170.7,73.6,97.7,82.8,102.0,59.5,39.2,32.0,39.9
175.8,78.1,110.9,86.7,95.1,57.7,37.5,37.0,41.1
169.3,92.3,110.8,103.5,107.9,66.7,41.7,37.3,40.5
170.3,60.5,93.4,74.1,92.4,55.0,36.4,29.2,38.0
166.5,49.3,85.7,69.1,82.0,46.2,31.4,27.2,39.9
170.9,62.6,90.7,76.8,93.5,52.9,35.5,30.2,41.0
178.6,57.3,90.5,65.5,84.5,47.4,33.0,29.8,41.7
176.5,92.5,113.8,99.4,100.9,62.0,39.3,40.5,38.9
169.2,71.2,100.9,83.0,94.4,54.0,37.6,32.5,37.0
178.9,87.5,109.9,92.8,102.6,61.5,40.7,35.7,39.6
176.8,80.6,97.7,83.0,102.6,63.0,40.1,32.0,40.5
174.4,76.3,99.6,81.9,99.0,58.1,38.6,32.0,36.5
166.4,64.7,95.2,79.2,93.5,57.0,38.3,33.0,37.0
173.4,59.8,98.2,75.8,84.8,49.7,34.2,30.9,40.3
187.7,87.4,105.4,87.5,100.3,61.6,37.6,34.7,44.0
166.8,58.7,93.9,69.9,88.9,52.5,35.4,28.5,39.5
175.8,75.2,102.9,84.4,95.5,58.3,38.6,32.9,41.0
173.6,67.9,97.1,79.8,95.5,55.1,38.0,30.7,41.0
176.9,63.5,96.8,75.5,92.6,53.8,35.5,31.0,37.6
174.1,81.7,107.7,95.1,98.3,61.0,39.4,35.5,38.9
174.4,89.7,105.5,96.1,104.1,63.0,43.5,36.5,40.6
169.6,62.7,90.1,73.7,95.3,55.1,36.4,29.1,40.2
179.0,76.8,96.7,85.5,101.0,61.0,39.3,32.1,38.1
173.6,71.8,97.8,81.7,94.5,57.5,37.0,32.2,39.0
167.1,63.1,92.5,78.0,93.3,56.1,37.2,30.5,36.6
169.1,81.5,110.8,93.1,100.1,59.7,40.5,36.4,40.0
176.4,89.7,108.3,96.5,105.9,64.6,41.9,36.4,39.4
171.2,66.2,102.2,79.0,90.5,55.3,36.4,32.3,38.0
177.9,72.5,93.4,79.7,96.4,58.3,38.6,32.5,39.2
162.2,53.3,85.1,70.4,88.4,53.8,33.0,28.2,35.4
156.7,48.3,80.0,67.7,92.0,52.5,33.0,28.2,34.1
164.7,52.9,85.0,71.5,85.9,51.1,35.0,28.5,37.1
163.2,57.1,88.0,68.3,89.8,56.6,35.2,29.4,36.1
164.7,52.7,83.9,71.4,88.4,51.2,33.0,28.4,35.8
171.5,57.0,87.7,69.6,91.8,50.9,34.1,25.2,37.3
162.9,69.0,95.8,81.7,101.1,61.8,41.1,33.5,34.5
167.6,71.8,97.7,84.9,101.0,59.0,38.5,32.5,36.4
