subject_id,chunk,gender,age,height,weight,chest,waist,hip,s3_csv_key,age_group,height_bin,weight_bin,body_type,age_cohort
M215,TS_M209toM308,M,23,175.1,69.0,93.9,78.3,94.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M215/csv/M215.csv,20대,Tall,Heavy,Tall_Heavy,Young
M156,TS_M109toM208,M,29,172.2,66.0,87.4,78.5,89.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M156/csv/M156.csv,20대,Tall,Normal,Tall_Normal,Young
M023,TS_M009toM108,M,28,172.8,56.3,83.0,70.1,86.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M023/csv/M023.csv,20대,Tall,Light,Tall_Light,Young
M302,TS_M209toM308,M,24,167.3,88.5,108.0,99.5,105.1,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M302/csv/M302.csv,20대,Medium,Heavy,Medium_Heavy,Young
M050,TS_M009toM108,M,23,165.7,59.7,87.6,74.1,89.1,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M050/csv/M050.csv,20대,Medium,Normal,Medium_Normal,Young
M151,TS_M109toM208,M,38,172.9,71.7,93.7,83.2,93.1,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M151/csv/M151.csv,30대,Tall,Heavy,Tall_Heavy,Young
M189,TS_M109toM208,M,25,179.5,66.4,89.2,71.3,93.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M189/csv/M189.csv,20대,Tall,Normal,Tall_Normal,Young
M043,TS_M009toM108,M,27,180.9,57.3,80.6,68.9,85.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M043/csv/M043.csv,20대,Tall,Light,Tall_Light,Young
M034,TS_M009toM108,M,22,165.0,73.1,94.5,84.0,97.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M034/csv/M034.csv,20대,Medium,Heavy,Medium_Heavy,Young
M060,TS_M009toM108,M,31,169.0,65.2,88.7,78.0,94.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M060/csv/M060.csv,30대,Medium,Normal,Medium_Normal,Young
M356,TS_M309toM408,M,35,179.3,81.7,95.6,83.7,98.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M356/csv/M356.csv,30대,Tall,Heavy,Tall_Heavy,Young
M292,TS_M209toM308,M,30,177.8,64.8,84.8,75.2,85.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M292/csv/M292.csv,30대,Tall,Normal,Tall_Normal,Young
M470,TS_M409toM505,M,26,170.5,56.0,84.3,69.7,83.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M470/csv/M470.csv,20대,Tall,Light,Tall_Light,Young
M226,TS_M209toM308,M,27,163.5,77.1,102.7,87.2,96.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M226/csv/M226.csv,20대,Medium,Heavy,Medium_Heavy,Young
M138,TS_M109toM208,M,24,168.4,58.8,85.6,70.7,85.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M138/csv/M138.csv,20대,Medium,Normal,Medium_Normal,Young
M058,TS_M009toM108,M,22,174.5,75.0,95.2,83.9,97.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M058/csv/M058.csv,20대,Tall,Heavy,Tall_Heavy,Young
M290,TS_M209toM308,M,30,174.6,61.4,83.3,71.9,87.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M290/csv/M290.csv,30대,Tall,Normal,Tall_Normal,Young
M077,TS_M009toM108,M,30,174.1,56.9,83.8,71.0,86.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M077/csv/M077.csv,30대,Tall,Light,Tall_Light,Young
M025,TS_M009toM108,M,34,165.8,85.5,98.3,98.2,104.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M025/csv/M025.csv,30대,Medium,Heavy,Medium_Heavy,Young
M279,TS_M209toM308,M,39,168.7,63.7,85.3,74.6,92.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M279/csv/M279.csv,30대,Medium,Normal,Medium_Normal,Young
M412,TS_M409toM505,M,32,176.8,77.6,95.8,83.7,99.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M412/csv/M412.csv,30대,Tall,Heavy,Tall_Heavy,Young
M083,TS_M009toM108,M,31,169.7,64.5,89.3,73.2,90.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M083/csv/M083.csv,30대,Tall,Normal,Tall_Normal,Young
M099,TS_M009toM108,M,20,175.6,53.4,81.3,61.3,85.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M099/csv/M099.csv,20대,Tall,Light,Tall_Light,Young
M468,TS_M409toM505,M,27,168.8,80.9,100.7,98.0,102.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M468/csv/M468.csv,20대,Medium,Heavy,Medium_Heavy,Young
M284,TS_M209toM308,M,30,164.3,62.6,89.9,76.0,88.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M284/csv/M284.csv,30대,Medium,Normal,Medium_Normal,Young
M295,TS_M209toM308,M,36,177.8,74.8,93.5,79.3,94.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M295/csv/M295.csv,30대,Tall,Heavy,Tall_Heavy,Young
M270,TS_M209toM308,M,24,175.1,68.4,92.7,73.3,92.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M270/csv/M270.csv,20대,Tall,Normal,Tall_Normal,Young
M086,TS_M009toM108,M,27,176.7,55.8,85.9,61.7,85.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M086/csv/M086.csv,20대,Tall,Light,Tall_Light,Young
M057,TS_M009toM108,M,23,169.0,75.0,97.0,80.3,98.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M057/csv/M057.csv,20대,Medium,Heavy,Medium_Heavy,Young
M231,TS_M209toM308,M,27,168.3,62.1,81.5,76.4,90.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M231/csv/M231.csv,20대,Medium,Normal,Medium_Normal,Young
M216,TS_M209toM308,M,37,177.0,85.1,96.7,91.0,101.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M216/csv/M216.csv,30대,Tall,Heavy,Tall_Heavy,Young
M221,TS_M209toM308,M,30,170.5,58.6,82.2,71.0,87.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M221/csv/M221.csv,30대,Tall,Normal,Tall_Normal,Young
M225,TS_M209toM308,M,27,168.5,71.2,95.4,79.7,96.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M225/csv/M225.csv,20대,Medium,Heavy,Medium_Heavy,Young
M178,TS_M109toM208,M,22,168.5,59.5,84.0,68.3,87.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M178/csv/M178.csv,20대,Medium,Normal,Medium_Normal,Young
M158,TS_M109toM208,M,38,177.9,77.8,57.3,86.2,95.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M158/csv/M158.csv,30대,Tall,Heavy,Tall_Heavy,Young
M093,TS_M009toM108,M,33,170.6,63.6,91.1,81.0,87.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M093/csv/M093.csv,30대,Tall,Normal,Tall_Normal,Young
M088,TS_M009toM108,M,34,163.1,74.0,98.6,89.0,97.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M088/csv/M088.csv,30대,Medium,Heavy,Medium_Heavy,Young
M184,TS_M109toM208,M,35,167.7,68.8,103.7,76.0,89.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M184/csv/M184.csv,30대,Medium,Normal,Medium_Normal,Young
M030,TS_M009toM108,M,30,170.8,76.9,96.1,82.6,99.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M030/csv/M030.csv,30대,Tall,Heavy,Tall_Heavy,Young
M369,TS_M309toM408,M,36,174.3,63.8,88.9,76.1,91.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M369/csv/M369.csv,30대,Tall,Normal,Tall_Normal,Young
M242,TS_M209toM308,M,34,167.6,74.0,93.6,87.6,94.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M242/csv/M242.csv,30대,Medium,Heavy,Medium_Heavy,Young
M064,TS_M009toM108,M,38,165.7,64.1,86.0,78.9,91.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M064/csv/M064.csv,30대,Medium,Normal,Medium_Normal,Young
M012,TS_M009toM108,M,26,177.9,78.4,92.3,82.1,100.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M012/csv/M012.csv,20대,Tall,Heavy,Tall_Heavy,Young
