subject_id,chunk,gender,age,height,weight,chest,waist,hip,s3_csv_key,age_group,height_bin,weight_bin,body_type,age_cohort
M084,TS_M009toM108,M,21,173.3,62.2,89.4,70.7,91.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M084/csv/M084.csv,20대,Tall,Normal,Tall_Normal,Young
M336,TS_M309toM408,M,27,164.7,62.5,86.3,76.1,91.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M336/csv/M336.csv,20대,Medium,Normal,Medium_Normal,Young
M116,TS_M109toM208,M,29,172.6,73.8,95.5,85.8,95.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M116/csv/M116.csv,20대,Tall,Heavy,Tall_Heavy,Young
M018,TS_M009toM108,M,31,174.6,68.7,84.1,79.7,95.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M018/csv/M018.csv,30대,Tall,Normal,Tall_Normal,Young
M119,TS_M109toM208,M,30,165.6,68.4,98.1,73.1,92.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M119/csv/M119.csv,30대,Medium,Normal,Medium_Normal,Young
M272,TS_M209toM308,M,27,179.0,73.1,89.6,81.9,99.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M272/csv/M272.csv,20대,Tall,Heavy,Tall_Heavy,Young
M044,TS_M009toM108,M,24,170.0,58.1,83.8,71.5,88.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M044/csv/M044.csv,20대,Tall,Normal,Tall_Normal,Young
M181,TS_M109toM208,M,35,165.4,60.5,85.0,74.2,86.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M181/csv/M181.csv,30대,Medium,Normal,Medium_Normal,Young
M176,TS_M109toM208,M,22,171.2,76.5,97.8,76.9,96.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M176/csv/M176.csv,20대,Tall,Heavy,Tall_Heavy,Young
M168,TS_M109toM208,M,28,176.2,67.5,93.0,74.4,92.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M168/csv/M168.csv,20대,Tall,Normal,Tall_Normal,Young
M187,TS_M109toM208,M,23,165.0,57.6,82.8,70.1,88.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M187/csv/M187.csv,20대,Medium,Normal,Medium_Normal,Young
M090,TS_M009toM108,M,22,178.5,85.6,99.2,91.0,99.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M090/csv/M090.csv,20대,Tall,Heavy,Tall_Heavy,Young
M173,TS_M109toM208,M,35,172.3,62.6,86.1,78.5,89.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M173/csv/M173.csv,30대,Tall,Normal,Tall_Normal,Young
M265,TS_M209toM308,M,29,168.2,60.1,85.5,72.8,84.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M265/csv/M265.csv,20대,Medium,Normal,Medium_Normal,Young
M170,TS_M109toM208,M,30,174.8,70.2,93.6,78.2,90.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M170/csv/M170.csv,30대,Tall,Heavy,Tall_Heavy,Young
M071,TS_M009toM108,M,27,172.7,67.3,90.5,73.3,92.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M071/csv/M071.csv,20대,Tall,Normal,Tall_Normal,Young
M094,TS_M009toM108,M,23,168.1,68.4,95.2,82.9,92.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M094/csv/M094.csv,20대,Medium,Normal,Medium_Normal,Young
M211,TS_M209toM308,M,43,178.9,68.1,88.1,77.4,92.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M211/csv/M211.csv,40대,Tall,Normal,Tall_Normal,Senior
M346,TS_M309toM408,M,66,171.1,83.4,102.1,97.2,100.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M346/csv/M346.csv,60대이상,Tall,Heavy,Tall_Heavy,Senior
M019,TS_M009toM108,M,58,165.9,65.4,91.1,82.2,90.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M019/csv/M019.csv,50대,Medium,Normal,Medium_Normal,Senior
M143,TS_M109toM208,M,59,169.5,55.7,84.2,72.6,83.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M143/csv/M143.csv,50대,Tall,Light,Tall_Light,Senior
M406,TS_M309toM408,M,59,162.3,74.4,97.3,95.1,94.1,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M406/csv/M406.csv,50대,Medium,Heavy,Medium_Heavy,Senior
M456,TS_M409toM505,M,75,161.8,54.6,84.2,79.0,88.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M456/csv/M456.csv,60대이상,Medium,Light,Medium_Light,Senior
M046,TS_M009toM108,M,46,160.4,69.6,95.6,87.5,97.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M046/csv/M046.csv,40대,Short,Heavy,Short_Heavy,Senior
M481,TS_M409toM505,M,76,159.9,64.3,97.2,91.3,92.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M481/csv/M481.csv,60대이상,Short,Normal,Short_Normal,Senior
M454,TS_M409toM505,M,73,159.9,54.0,79.8,71.7,85.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M454/csv/M454.csv,60대이상,Short,Light,Short_Light,Senior
M407,TS_M309toM408,M,43,171.2,68.1,93.2,78.1,92.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M407/csv/M407.csv,40대,Tall,Normal,Tall_Normal,Senior
M133,TS_M109toM208,M,46,175.4,76.8,88.9,83.5,95.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M133/csv/M133.csv,40대,Tall,Heavy,Tall_Heavy,Senior
M072,TS_M009toM108,M,65,164.3,66.2,88.8,83.5,92.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M072/csv/M072.csv,60대이상,Medium,Normal,Medium_Normal,Senior
M300,TS_M209toM308,M,63,170.4,56.9,83.5,69.9,85.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M300/csv/M300.csv,60대이상,Tall,Light,Tall_Light,Senior
M164,TS_M109toM208,M,44,166.7,72.9,95.0,91.5,92.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M164/csv/M164.csv,40대,Medium,Heavy,Medium_Heavy,Senior
M035,TS_M009toM108,M,78,166.0,46.6,78.8,65.6,84.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M035/csv/M035.csv,60대이상,Medium,Light,Medium_Light,Senior
M417,TS_M409toM505,M,75,154.7,59.0,88.2,85.7,89.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M417/csv/M417.csv,60대이상,Short,Normal,Short_Normal,Senior
M385,TS_M309toM408,M,65,160.4,57.2,87.1,80.3,85.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M385/csv/M385.csv,60대이상,Short,Light,Short_Light,Senior
M460,TS_M409toM505,M,73,175.2,65.6,92.7,81.8,92.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M460/csv/M460.csv,60대이상,Tall,Normal,Tall_Normal,Senior
M472,TS_M409toM505,M,59,177.2,73.9,95.2,86.3,96.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M472/csv/M472.csv,50대,Tall,Heavy,Tall_Heavy,Senior
M021,TS_M009toM108,M,72,169.3,56.4,85.6,82.7,87.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M021/csv/M021.csv,60대이상,Tall,Light,Tall_Light,Senior
M076,TS_M009toM108,M,46,164.6,69.2,93.5,82.8,97.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M076/csv/M076.csv,40대,Medium,Heavy,Medium_Heavy,Senior
M309,TS_M309toM408,M,58,165.5,57.1,82.4,74.7,88.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M309/csv/M309.csv,50대,Medium,Light,Medium_Light,Senior
M465,TS_M409toM505,M,67,159.5,66.7,93.1,89.7,91.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M465/csv/M465.csv,60대이상,Short,Normal,Short_Normal,Senior
M149,TS_M109toM208,M,49,173.6,57.6,79.5,70.3,86.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M149/csv/M149.csv,40대,Tall,Normal,Tall_Normal,Senior
M332,TS_M309toM408,M,53,171.2,79.2,101.6,92.0,94.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M332/csv/M332.csv,50대,Tall,Heavy,Tall_Heavy,Senior
M424,TS_M409toM505,M,66,167.3,65.5,95.3,85.6,89.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M424/csv/M424.csv,60대이상,Medium,Normal,Medium_Normal,Senior
M163,TS_M109toM208,M,62,170.9,54.5,8.2,73.2,84.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M163/csv/M163.csv,60대이상,Tall,Light,Tall_Light,Senior
M120,TS_M109toM208,M,69,165.2,76.4,97.4,99.8,97.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M120/csv/M120.csv,60대이상,Medium,Heavy,Medium_Heavy,Senior
M036,TS_M009toM108,M,53,166.2,53.6,85.2,71.0,84.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M036/csv/M036.csv,50대,Medium,Light,Medium_Light,Senior
M195,TS_M109toM208,M,53,158.0,60.2,88.7,77.8,87.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M195/csv/M195.csv,50대,Short,Normal,Short_Normal,Senior
M419,TS_M409toM505,M,51,171.4,68.7,93.7,84.6,87.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M419/csv/M419.csv,50대,Tall,Normal,Tall_Normal,Senior
M404,TS_M309toM408,M,44,174.7,83.7,101.8,91.2,101.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M404/csv/M404.csv,40대,Tall,Heavy,Tall_Heavy,Senior
M160,TS_M109toM208,M,40,166.0,60.7,87.0,77.1,89.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M109toM208/M160/csv/M160.csv,40대,Medium,Normal,Medium_Normal,Senior
M288,TS_M209toM308,M,55,167.4,74.6,100.3,88.0,96.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M209toM308/M288/csv/M288.csv,50대,Medium,Heavy,Medium_Heavy,Senior
M463,TS_M409toM505,M,77,162.1,46.9,81.3,74.8,82.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M463/csv/M463.csv,60대이상,Medium,Light,Medium_Light,Senior
M497,TS_M409toM505,M,75,157.4,63.9,90.3,87.0,95.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M497/csv/M497.csv,60대이상,Short,Normal,Short_Normal,Senior
M095,TS_M009toM108,M,52,172.8,65.8,91.8,81.2,87.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M009toM108/M095/csv/M095.csv,50대,Tall,Normal,Tall_Normal,Senior
M360,TS_M309toM408,M,56,172.8,105.6,113.4,116.5,109.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M309toM408/M360/csv/M360.csv,50대,Tall,Heavy,Tall_Heavy,Senior
M476,TS_M409toM505,M,58,165.4,65.9,92.4,83.6,89.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_M409toM505/M476/csv/M476.csv,50대,Medium,Normal,Medium_Normal,Senior
F357,TS_F309toF408,F,29,164.2,55.1,81.5,67.9,89.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F357/csv/F357.csv,20대,Medium,Light,Medium_Light,Young
F398,TS_F309toF408,F,21,155.4,52.1,88.4,71.0,89.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F398/csv/F398.csv,20대,Short,Light,Short_Light,Young
F031,TS_F009toF108,F,39,167.4,59.0,90.6,75.6,95.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F031/csv/F031.csv,30대,Medium,Normal,Medium_Normal,Young
F345,TS_F309toF408,F,36,169.7,60.0,88.0,71.0,94.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F345/csv/F345.csv,30대,Tall,Normal,Tall_Normal,Young
F169,TS_F109toF208,F,28,157.0,70.3,100.2,86.8,104.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F169/csv/F169.csv,20대,Short,Heavy,Short_Heavy,Young
F274,TS_F209toF308,F,34,169.6,53.7,78.0,69.5,91.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F274/csv/F274.csv,30대,Tall,Light,Tall_Light,Young
F246,TS_F209toF308,F,29,159.6,59.9,92.3,75.5,98.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F246/csv/F246.csv,20대,Short,Normal,Short_Normal,Young
F368,TS_F309toF408,F,32,155.0,50.9,81.7,66.8,89.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F368/csv/F368.csv,30대,Short,Light,Short_Light,Young
F128,TS_F109toF208,F,38,169.3,60.8,82.8,73.5,96.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F128/csv/F128.csv,30대,Tall,Normal,Tall_Normal,Young
F194,TS_F109toF208,F,39,170.4,54.0,82.8,71.0,91.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F194/csv/F194.csv,30대,Tall,Light,Tall_Light,Young
F365,TS_F309toF408,F,39,158.7,63.0,90.9,78.4,100.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F365/csv/F365.csv,30대,Short,Normal,Short_Normal,Young
F010,TS_F009toF108,F,33,167.1,52.3,86.1,65.7,92.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F010/csv/F010.csv,30대,Medium,Light,Medium_Light,Young
F405,TS_F309toF408,F,26,158.2,54.5,89.0,68.7,94.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F405/csv/F405.csv,20대,Short,Light,Short_Light,Young
F364,TS_F309toF408,F,32,161.7,59.5,85.5,73.7,95.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F364/csv/F364.csv,30대,Medium,Normal,Medium_Normal,Young
F203,TS_F109toF208,F,30,160.3,59.6,92.2,79.4,94.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F203/csv/F203.csv,30대,Short,Normal,Short_Normal,Young
F187,TS_F109toF208,F,32,154.3,50.4,86.4,65.9,91.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F187/csv/F187.csv,30대,Short,Light,Short_Light,Young
