model,mean_mae,mean_rmse,mean_r2,mean_p90_error,fit_seconds,predict_ms_per_row,group
hist_gradient_boosting,1.9198993429041404,2.460879943165317,0.786124383757754,3.9047802486175662,8.521329800132662,0.17016600002534688,기본
knn,1.9145489107513736,2.465478894015706,0.785311539598541,3.9263480018542594,0.007868200074881315,0.013085100101307034,기본
random_forest,1.9292970170033286,2.469303782152229,0.7850721423172392,3.946374429547277,0.6403235998004675,0.10374509985558689,기본
tabpfn_v2,1.9710012857142856,2.5145197142857145,0.7753888571428572,4.030201571428572,8.208138,9.849576,Hugging Face
nori,1.9799711428571427,2.5275665714285713,0.7731112857142858,4.050607142857143,1.802588,19.885299,Hugging Face
tabpfn_mix,2.0081252857142857,2.5611292857142858,0.7675878571428572,4.094067,261.19747,3.469721,Hugging Face
baseline,4.496795190615836,5.593475733040265,-0.0011519288043143458,9.014537075827397,0.0021109001245349646,7.750000804662704e-05,기본
