model,target,mae,rmse,r2,p90_absolute_error,fit_seconds,predict_ms_per_row
baseline,chest,7.1998735092864115,8.71628277330305,-0.0019327550291809992,14.028699902248297,0.0021109001245349646,7.750000804662704e-05
baseline,waist,8.092744134897359,10.145754659513784,-0.0001544037323524261,16.67788856304984,0.0021109001245349646,7.750000804662704e-05
baseline,hip,4.744858064516129,6.090139848270156,-0.0005784302403244457,9.633870967741927,0.0021109001245349646,7.750000804662704e-05
baseline,thigh,3.831753870967742,4.932736615521463,-0.0005191590712765315,7.975806451612904,0.0021109001245349646,7.750000804662704e-05
baseline,calf,2.478094721407625,3.0647315569791798,-0.0015117155655686165,4.890469208211147,0.0021109001245349646,7.750000804662704e-05
baseline,arm,2.7102775171065496,3.3824268357101226,-0.002000156929071739,5.427321603128053,0.0021109001245349646,7.750000804662704e-05
baseline,shoulder,2.419964516129032,2.822257841984097,-0.0013668810624256622,4.467702834799606,0.0021109001245349646,7.750000804662704e-05
random_forest,chest,2.4053820128277947,3.0855943429583688,0.8744393336996994,4.796241977651994,0.6403235998004675,0.10374509985558689
random_forest,waist,3.4315323253655334,4.353442954414995,0.8158532513524079,6.823436990014383,0.6403235998004675,0.10374509985558689
random_forest,hip,2.0759350200838473,2.660175167408837,0.8090951000618782,4.3616162349687135,0.6403235998004675,0.10374509985558689
random_forest,thigh,2.1990084491658988,2.8295521554629586,0.6707809460284311,4.691258205868241,0.6403235998004675,0.10374509985558689
random_forest,calf,1.1731654424177882,1.5032351959835428,0.7590510574396658,2.4328655892255826,0.6403235998004675,0.10374509985558689
random_forest,arm,1.1054643733678953,1.4299708963277862,0.8209124628289565,2.1520054521404597,0.6403235998004675,0.10374509985558689
random_forest,shoulder,1.114591495794542,1.4231557625091125,0.7453728448096354,2.367196556961563,0.6403235998004675,0.10374509985558689
hist_gradient_boosting,chest,2.4222133081074397,3.108227781697944,0.8725905537455181,4.860936540964761,8.521329800132662,0.17016600002534688
hist_gradient_boosting,waist,3.389200383042618,4.305571387830422,0.8198808337862524,6.638264656530067,8.521329800132662,0.17016600002534688
hist_gradient_boosting,hip,2.0622955468493465,2.6200228681004294,0.8148145891626966,4.252517641446791,8.521329800132662,0.17016600002534688
hist_gradient_boosting,thigh,2.1748628881506735,2.8130709229871345,0.6746049671456967,4.589059679617692,8.521329800132662,0.17016600002534688
hist_gradient_boosting,calf,1.178526614031155,1.514222685812453,0.7555158829350976,2.4620726163177666,8.521329800132662,0.17016600002534688
hist_gradient_boosting,arm,1.1105176790063547,1.463505769871059,0.81241424958722,2.21247428547197,8.521329800132662,0.17016600002534688
hist_gradient_boosting,shoulder,1.1016789811413963,1.401538185857779,0.7530496099417966,2.3181363199739153,8.521329800132662,0.17016600002534688
knn,chest,2.407813235460556,3.07800851275111,0.8750559481779038,4.915500830321682,0.007868200074881315,0.013085100101307034
knn,waist,3.360731537345191,4.312629151118069,0.8192898412133464,6.718291847177449,0.007868200074881315,0.013085100101307034
knn,hip,2.076303279878055,2.682636100019108,0.8058577160059424,4.273411184741753,0.007868200074881315,0.013085100101307034
knn,thigh,2.1715379063865874,2.8270327606099053,0.6713669493863479,4.631322658237455,0.007868200074881315,0.013085100101307034
knn,calf,1.1668220543397643,1.4994167879426195,0.7602735845216375,2.435593626073145,0.007868200074881315,0.013085100101307034
knn,arm,1.1093044304993236,1.4395698474495404,0.8185000749217103,2.150333277888944,0.007868200074881315,0.013085100101307034
knn,shoulder,1.1093299313501388,1.419059098219588,0.746836662962899,2.3599825885393892,0.007868200074881315,0.013085100101307034
tabpfn_v2,chest,2.484054,3.161852,0.867479,5.002925,8.208138,9.849576
tabpfn_v2,waist,3.317963,4.136839,0.833903,6.463167,8.208138,9.849576
tabpfn_v2,hip,2.382576,3.05691,0.746575,5.034064,8.208138,9.849576
tabpfn_v2,thigh,2.261006,2.905415,0.651467,4.764128,8.208138,9.849576
tabpfn_v2,calf,1.112673,1.443447,0.778268,2.376257,8.208138,9.849576
tabpfn_v2,arm,1.086886,1.438839,0.818118,2.15999,8.208138,9.849576
tabpfn_v2,shoulder,1.151851,1.458336,0.731912,2.41088,8.208138,9.849576
nori,chest,2.502219,3.186318,0.86542,4.981266,1.802588,19.885299
nori,waist,3.332211,4.150272,0.832823,6.479551,1.802588,19.885299
nori,hip,2.385558,3.073804,0.743767,5.129381,1.802588,19.885299
nori,thigh,2.278407,2.930113,0.645517,4.85547,1.802588,19.885299
nori,calf,1.121121,1.451097,0.775911,2.347833,1.802588,19.885299
nori,arm,1.085295,1.437569,0.818439,2.1506,1.802588,19.885299
nori,shoulder,1.154987,1.463793,0.729902,2.410149,1.802588,19.885299
tabpfn_mix,chest,2.546508,3.238158,0.861005,5.200912,261.19747,3.469721
tabpfn_mix,waist,3.367777,4.202849,0.82856,6.599998,261.19747,3.469721
tabpfn_mix,hip,2.43403,3.140833,0.73247,5.100002,261.19747,3.469721
tabpfn_mix,thigh,2.301391,2.948656,0.641016,4.757554,261.19747,3.469721
tabpfn_mix,calf,1.134439,1.462404,0.772405,2.400001,261.19747,3.469721
tabpfn_mix,arm,1.099175,1.452997,0.814521,2.2,261.19747,3.469721
tabpfn_mix,shoulder,1.173557,1.482008,0.723138,2.400002,261.19747,3.469721
